time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
4/12/2023 21:00,2007.832,2013.123,2003.105,2006.954,0,none,none,0,9.995,-1.708,1,9.995,-1.708,0,none,none
4/12/2023 22:00,2006.987,2009.47,2005.645,2005.817,0,none,none,0,11.132,-0.571,1,11.132,-0.571,0,none,none
4/12/2023 23:00,2005.785,2009.372,2005.246,2007.872,0,none,none,0,9.077,-1.368,1,9.077,-1.368,0,none,none
4/13/2023 0:00,2007.868,2012.604,2006.504,2011.514,1,274632756,2011.642,0,6.977,-0.166,1,6.977,-0.166,0,TRUE,none
4/13/2023 1:00,2011.517,2016.949,2011.348,2015.796,1,274657142,2015.953,0,3.973,-2.527,0,3.973,-2.527,0,FALSE,none
4/13/2023 3:00,2013.657,2015.102,2013.269,2014.851,0,none,none,0,4.918,-0.801,1,4.918,-0.801,0,none,none
4/13/2023 5:00,2014.468,2015.168,2014.05,2015.152,0,none,none,0,4.617,-0.043,1,4.617,-0.043,0,none,none
4/13/2023 6:00,2015.12,2018.491,2015.109,2018.186,0,none,none,0,1.583,-2.473,0,1.583,-2.473,0,none,none
4/13/2023 7:00,2018.155,2019.769,2016.564,2017.889,0,none,none,0,1.449,-2.176,0,1.449,-2.176,0,none,none
4/13/2023 8:00,2017.893,2019.211,2015.851,2017.88,0,none,none,0,1.458,-2.521,0,1.458,-2.521,0,none,none
4/13/2023 9:00,2017.85,2019.324,2016.32,2017.856,0,none,none,0,5.334,-2.542,1,5.334,-2.542,0,none,none
4/13/2023 10:00,2017.852,2017.905,2015.713,2017.461,0,none,none,0,8.195,-2.147,1,8.195,-2.147,0,none,none
4/13/2023 11:00,2017.452,2019.338,2017.408,2018.482,0,none,none,0,10.691,-3.168,0,10.691,-3.168,0,none,none
4/13/2023 12:00,2018.497,2019.159,2015.359,2015.402,0,274790183,2015.34,1,13.771,-0.088,1,13.771,-0.088,0,none,FALSE
4/13/2023 13:00,2015.371,2023.19,2015.314,2020.435,1,274825775,2020.757,0,8.738,0.031,1,8.738,0.031,0,TRUE,none
4/13/2023 14:00,2020.466,2025.656,2020.466,2024.515,1,274856282,2024.663,0,4.658,-0.063,1,4.658,-0.063,0,TRUE,none
4/13/2023 15:00,2024.538,2029.173,2024.452,2026.604,0,none,none,0,19.084,-1.612,1,19.084,-1.612,0,none,none
4/13/2023 16:00,2026.592,2028.617,2025.762,2026.57,0,none,none,0,20.48,-1.578,1,20.48,-1.578,0,none,none
4/13/2023 17:00,2026.601,2027.959,2024.992,2026.673,0,none,none,0,21.999,-1.236,1,21.999,-1.236,0,none,none
4/13/2023 18:00,2026.666,2028.652,2025.437,2028.611,0,none,none,0,20.061,-2.233,1,20.061,-2.233,0,none,none
4/13/2023 19:00,2028.602,2045.688,2026.378,2044.984,1,275064190,2044.842,0,3.688,-11.434,0,3.688,-11.434,0,FALSE,none
4/13/2023 20:00,2045.05,2047.05,2039.694,2046.52,0,none,none,0,2.152,-12.97,0,2.152,-12.97,1,none,none
4/13/2023 21:00,2046.55,2048.672,2033.55,2034.214,0,275190804,2034.148,1,9.902,-0.194,1,9.902,-0.194,0,none,FALSE
4/13/2023 22:00,2034.179,2042.396,2034.02,2038.938,1,275236610,2039.069,0,5.178,-2.301,1,5.178,-2.301,0,TRUE,none
4/13/2023 23:00,2038.976,2040.59,2037.289,2040.17,0,none,none,0,3.946,-3.533,0,3.946,-3.533,0,none,none
4/14/2023 0:00,2040.201,2044.116,2039.179,2043.793,1,275308211,2043.94,0,0.218,-7.156,0,0.218,-7.156,1,FALSE,none
4/14/2023 1:00,2043.782,2044.011,2037.515,2038.324,0,275337486,2038.496,1,2.763,-1.687,0,2.763,-1.687,0,none,FALSE
4/14/2023 2:00,2038.322,2040.903,2036.637,2040.629,0,none,none,0,3.053,-1.998,0,3.053,-1.998,0,none,none
4/14/2023 3:00,2040.576,2041.087,2039.872,2040.525,0,none,none,0,5.488,-1.894,1,5.488,-1.894,0,none,none
4/14/2023 5:00,2040.561,2040.767,2040.024,2040.12,0,none,none,0,7.309,-1.489,1,7.309,-1.489,0,none,none
4/14/2023 6:00,2040.121,2040.192,2038.709,2039.751,0,none,none,0,7.678,-1.12,1,7.678,-1.12,0,none,none
4/14/2023 7:00,2039.75,2043.682,2038.631,2041.909,0,none,none,0,5.52,-0.756,1,5.52,-0.756,0,none,none
4/14/2023 8:00,2041.878,2046.013,2041.153,2045.934,1,275473135,2046.004,0,1.495,-6.35,0,1.495,-6.35,1,FALSE,none
4/14/2023 9:00,2045.909,2047.429,2044.89,2046.129,0,none,none,0,0.37,-6.545,0,0.37,-6.545,1,none,none
4/14/2023 10:00,2046.102,2046.102,2042.866,2045.059,0,none,none,0,1.44,-8.425,0,1.44,-8.425,1,none,none
4/14/2023 11:00,2045.058,2046.499,2042.452,2043.253,0,275561616,2043.385,1,1.041,-11.517,0,1.041,-11.517,1,none,TRUE
4/14/2023 12:00,2043.25,2043.712,2039.584,2042.807,0,none,none,0,1.487,-11.071,0,1.487,-11.071,1,none,none
4/14/2023 13:00,2042.838,2044.294,2040.67,2041.3,0,none,none,0,0.91,-9.564,0,0.91,-9.564,1,none,none
4/14/2023 14:00,2041.32,2041.329,2036.634,2039.233,0,275675991,2039.198,1,2.977,-7.497,0,2.977,-7.497,1,none,TRUE
4/14/2023 15:00,2039.229,2039.346,2031.736,2035.788,0,275725380,2035.758,1,6.422,-18.552,0,6.422,-18.552,0,none,FALSE
4/14/2023 16:00,2035.758,2038.763,2034.522,2038.632,0,none,none,0,3.578,-21.396,0,3.578,-21.396,0,none,none
4/14/2023 17:00,2038.664,2042.21,2037.711,2038.272,0,none,none,0,1.848,-40.506,0,1.848,-40.506,1,none,none
4/14/2023 18:00,2038.273,2038.275,2032.27,2033.261,0,275823277,2033.317,1,6.859,-39.622,0,6.859,-39.622,0,none,FALSE
4/14/2023 19:00,2033.286,2040.12,2017.236,2024.67,0,275895587,2024.424,1,3.409,-32.269,0,3.409,-32.269,0,none,FALSE
4/14/2023 20:00,2024.638,2028.079,2019.921,2023.506,0,none,none,0,-0.228,-31.105,0,-0.228,-31.105,1,none,none
4/14/2023 21:00,2023.278,2023.278,1997.766,1998.471,0,276018649,1998.539,1,8.376,-6.07,0,8.376,-6.07,0,none,FALSE
4/14/2023 22:00,1998.502,2000.823,1993.639,1995.662,0,276072448,1995.755,1,12.329,-3.261,0,12.329,-3.261,0,none,FALSE
4/14/2023 23:00,1995.66,1999.656,1992.401,1999.557,1,276110554,1999.694,0,8.434,-0.961,1,8.434,-0.961,0,TRUE,none
4/15/2023 0:00,1999.569,2004.139,1998.596,2003.898,1,276131851,2004.088,0,4.093,-4.21,0,4.093,-4.21,0,FALSE,none
4/15/2023 1:00,2003.929,2006.847,2003.371,2006.345,0,none,none,0,1.646,-6.657,0,1.646,-6.657,1,none,none
4/15/2023 2:00,2006.376,2007.991,2004.981,2005.317,0,none,none,0,0.335,-5.629,0,0.335,-5.629,1,none,none
4/15/2023 3:00,2005.301,2005.652,2003.873,2004.29,0,none,none,0,0.754,-9.026,0,0.754,-9.026,1,none,none
4/17/2023 5:00,2001.244,2005.044,1999.688,2001.207,0,none,none,0,5.104,-5.943,0,5.104,-5.943,0,none,none
4/17/2023 6:00,2001.226,2004.934,2001.226,2002.885,0,none,none,0,3.426,-7.621,0,3.426,-7.621,0,none,none
4/17/2023 7:00,2002.904,2004.679,2001.486,2002.13,0,none,none,0,4.181,-6.866,0,4.181,-6.866,0,none,none
4/17/2023 8:00,2002.16,2004.985,1995.264,2003.218,0,none,none,0,10.293,-0.063,1,10.293,-0.063,0,none,none
4/17/2023 9:00,2003.187,2006.311,2003.155,2004.079,0,none,none,0,10.956,-0.332,1,10.956,-0.332,0,none,none
4/17/2023 10:00,2004.051,2005.16,2004.017,2004.543,0,none,none,0,10.492,-0.796,1,10.492,-0.796,0,none,none
4/17/2023 11:00,2004.517,2006.042,2003.747,2004.381,0,none,none,0,10.654,3.925,1,10.654,3.925,0,none,none
