datetime,open,high,low,close,open_lag1,open_lag2,open_lag3,open_lag4,open_lag5,high_lag1,high_lag2,high_lag3,high_lag4,high_lag5,low_lag1,low_lag2,low_lag3,low_lag4,low_lag5,close_lag1,close_lag2,close_lag3,close_lag4,close_lag5,EMAF,STO_K
2021-01-06 11:00:00,1909.649,1909.848,1900.755,1907.965,1932.345,1932.825,1933.809,1945.168,1956.595,1933.658,1938.055,1943.458,1948.445,1957.778,1903.895,1927.288,1930.588,1924.989,1945.168,1909.728,1932.395,1932.858,1933.849,1945.168,1940.718745762712,15.858660060296094
2021-01-06 12:00:00,1907.978,1908.028,1902.448,1907.478,1909.649,1932.345,1932.825,1933.809,1945.168,1909.848,1933.658,1938.055,1943.458,1948.445,1900.755,1903.895,1927.288,1930.588,1924.989,1907.965,1909.728,1932.395,1932.858,1933.849,1939.6107209039549,13.895801575741137
2021-01-06 13:00:00,1907.478,1911.348,1905.968,1911.248,1907.978,1909.649,1932.345,1932.825,1933.809,1908.028,1909.848,1933.658,1938.055,1943.458,1902.448,1900.755,1903.895,1927.288,1930.588,1907.478,1907.965,1909.728,1932.395,1932.858,1938.665296873823,19.66448844548333
2021-01-06 14:00:00,1911.158,1921.208,1908.488,1918.365,1907.478,1907.978,1909.649,1932.345,1932.825,1911.348,1908.028,1909.848,1933.658,1938.055,1905.968,1902.448,1900.755,1903.895,1927.288,1911.248,1907.478,1907.965,1909.728,1932.395,1937.9886203113624,32.46531579929892
2021-01-06 15:00:00,1918.305,1924.175,1915.208,1918.088,1911.158,1907.478,1907.978,1909.649,1932.345,1921.208,1911.348,1908.028,1909.848,1933.658,1908.488,1905.968,1902.448,1900.755,1903.895,1918.365,1911.248,1907.478,1907.965,1909.728,1937.3252663009837,51.88723883626974
2021-01-06 16:00:00,1918.158,1920.975,1915.808,1917.998,1918.305,1911.158,1907.478,1907.978,1909.649,1924.175,1921.208,1911.348,1908.028,1909.848,1915.208,1908.488,1905.968,1902.448,1900.755,1918.088,1918.365,1911.248,1907.478,1907.965,1936.6810240909508,66.36676174696198
2021-01-06 18:00:00,1918.558,1924.405,1918.388,1923.985,1918.158,1918.305,1911.158,1907.478,1907.978,1920.975,1924.175,1921.208,1911.348,1908.028,1915.808,1915.208,1908.488,1905.968,1902.448,1917.998,1918.088,1918.365,1911.248,1907.478,1936.257823287919,81.10043394206468
2021-01-06 19:00:00,1923.955,1924.535,1918.508,1918.938,1918.558,1918.158,1918.305,1911.158,1907.478,1924.405,1920.975,1924.175,1921.208,1911.348,1918.388,1915.808,1915.208,1908.488,1905.968,1923.985,1917.998,1918.088,1918.365,1911.248,1935.6804958449884,78.13770486720496
2021-01-06 20:00:00,1918.988,1921.585,1915.578,1918.045,1923.955,1918.558,1918.158,1918.305,1911.158,1924.535,1924.405,1920.975,1924.175,1921.208,1918.508,1918.388,1915.808,1915.208,1908.488,1918.938,1923.985,1917.998,1918.088,1918.365,1935.0926459834886,64.42008243417312
2021-01-06 21:00:00,1918.025,1918.965,1914.595,1916.055,1918.988,1923.955,1918.558,1918.158,1918.305,1921.585,1924.535,1924.405,1920.975,1924.175,1915.578,1918.508,1918.388,1915.808,1915.208,1918.045,1918.938,1923.985,1917.998,1918.088,1934.458057784039,36.742134651292666
2021-01-06 22:00:00,1916.035,1918.775,1914.705,1917.808,1918.025,1918.988,1923.955,1918.558,1918.158,1918.965,1921.585,1924.535,1924.405,1920.975,1914.595,1915.578,1918.508,1918.388,1915.808,1916.055,1918.045,1918.938,1923.985,1917.998,1933.9030558579045,25.809713719937903
2021-01-06 23:00:00,1917.808,1918.455,1916.565,1917.668,1916.035,1918.025,1918.988,1923.955,1918.558,1918.775,1918.965,1921.585,1924.535,1924.405,1914.705,1914.595,1915.578,1918.508,1918.388,1917.808,1916.055,1918.045,1918.938,1923.985,1933.3618873293078,25.97585513078413
2021-01-07 00:00:00,1917.568,1921.055,1915.925,1920.698,1917.808,1916.035,1918.025,1918.988,1923.955,1918.455,1918.775,1918.965,1921.585,1924.535,1916.565,1914.705,1914.595,1915.578,1918.508,1917.668,1917.808,1916.055,1918.045,1918.938,1932.939757751664,50.183293370139374
2021-01-07 01:00:00,1920.698,1927.518,1919.645,1926.368,1917.568,1917.808,1916.035,1918.025,1918.988,1921.055,1918.455,1918.775,1918.965,1921.585,1915.925,1916.565,1914.705,1914.595,1915.578,1920.698,1917.668,1917.808,1916.055,1918.045,1932.720699159942,69.77569131840566
2021-01-07 02:00:00,1926.368,1927.348,1919.078,1920.598,1920.698,1917.568,1917.808,1916.035,1918.025,1927.518,1921.055,1918.455,1918.775,1918.965,1919.645,1915.925,1916.565,1914.705,1914.595,1926.368,1920.698,1917.668,1917.808,1916.055,1932.3166091879439,74.80131083848714
2021-01-07 03:00:00,1920.561,1922.508,1916.038,1918.0,1926.368,1920.698,1917.568,1917.808,1916.035,1927.348,1927.518,1921.055,1918.455,1918.775,1919.078,1919.645,1915.925,1916.565,1914.705,1920.598,1926.368,1920.698,1917.668,1917.808,1931.839388881679,51.66407367273473
2021-01-07 04:00:00,1918.0,1921.968,1915.0,1915.698,1920.561,1926.368,1920.698,1917.568,1917.808,1922.508,1927.348,1927.518,1921.055,1918.455,1916.038,1919.078,1919.645,1915.925,1916.565,1918.0,1920.598,1926.368,1920.698,1917.668,1931.3013425856232,23.155684704589135
