datetime,open,high,low,close
2022-10-28 12:00:00,-2.839807646163248,-2.806493659134981,-2.8285014747267696,-2.7916395205429794
2022-10-28 13:00:00,-2.7918939864869183,-2.7852649001038814,-2.7994298155094133,-2.8152897482410806
2022-10-28 14:00:00,-2.8156962561325773,-2.802955532629797,-2.798497533546271,-2.7842198412651435
2022-10-28 15:00:00,-2.784938777824225,-2.77465052058833,-2.7691461897399674,-2.753304510940828
2022-10-28 16:00:00,-2.7549541004783964,-2.767728099165144,-2.756405002910341,-2.761806226780014
2022-10-30 17:00:00,-2.7787409141048056,-2.7841880789936058,-2.7884133503116,-2.769535059361093
2022-10-30 18:00:00,-2.7691736381887884,-2.7721892151934187,-2.7594970714214346,-2.779273388413254
2022-10-30 19:00:00,-2.7788954742973098,-2.775881173285784,-2.77815824871702,-2.7995229297756796
2022-10-30 20:00:00,-2.8000702206703947,-2.809108796117074,-2.8008282384541276,-2.8089521055245945
2022-10-30 21:00:00,-2.813377853245015,-2.79910974295025,-2.7988238322333703,-2.8120590962221885
2022-10-30 22:00:00,-2.8116776911274663,-2.7831112578833337,-2.79368074340336,-2.76536148976731
2022-10-30 23:00:00,-2.7657578579344433,-2.771112394083146,-2.754229678329671,-2.767525562890014
2022-10-31 00:00:00,-2.7670097954937303,-2.7686510886882347,-2.789967153583508,-2.8102041764027312
2022-10-31 01:00:00,-2.810286649394929,-2.797109932316887,-2.8028637207403255,-2.7772638919421717
2022-10-31 02:00:00,-2.7781381293540393,-2.7848034053423327,-2.803174481394706,-2.8133266247654873
2022-10-31 03:00:00,-2.8158508163250815,-2.832198917353076,-2.8797769826996653,-2.8792844820124155
2022-10-31 04:00:00,-2.8790659350593355,-2.8509663709892674,-2.876669376155853,-2.843747309804615
2022-10-31 05:00:00,-2.84396531534161,-2.8582272219042526,-2.8633066680174606,-2.836513122508724
2022-10-31 06:00:00,-2.8346917037913544,-2.8229536389634426,-2.837808756325488,-2.837100513784886
2022-10-31 07:00:00,-2.837180122890674,-2.8304913867353556,-2.878052261067848,-2.8794390586640373
2022-10-31 08:00:00,-2.879375055444344,-2.872948904797558,-2.9134945137000194,-2.8746471824637654
2022-10-31 09:00:00,-2.8750473700542245,-2.8223383126147157,-2.8552268910035505,-2.8186904345767556
2022-10-31 10:00:00,-2.8184628835784054,-2.8386444608559955,-2.8569205365699304,-2.84945118824945
2022-10-31 11:00:00,-2.8495449382910163,-2.8501818298946375,-2.8668804155428442,-2.887956232168385
2022-10-31 12:00:00,-2.8878758660320787,-2.8892550530388412,-2.88956594331267,-2.904016746271867
2022-10-31 13:00:00,-2.9036255496482655,-2.9106530268158406,-2.9033947924326338,-2.916552912718376
2022-10-31 14:00:00,-2.9141510987578076,-2.934958417590582,-2.9394274903081294,-2.9547178880037444
2022-10-31 15:00:00,-2.955882350733965,-2.9523260037834165,-2.934781618525131,-2.941115142661047
2022-10-31 17:00:00,-2.948618021686263,-2.951710677434689,-2.9274632051144547,-2.9459070188613152
